Player_Id,Player_Name,Batting_Hand,Bowling_Skill,Country,Is_Umpire
255,STR Binny,Right_Hand,Right-arm medium,India,0
256,Harmeet Singh,Left_Hand,Slow left-arm orthodox,India,0
257,IR Jaggi,Right_Hand,Legbreak googly,India,0
258,DT Christian,Right_Hand,Right-arm fast-medium,Australia,0
259,RV Gomez,Right_Hand,Right-arm medium,India,0
260,MA Agarwal,Right_Hand,NULL,India,0
261,AUK Pathan,Right_Hand,Right-arm medium,India,0
262,UBT Chand,Right_Hand,Right-arm offbreak,India,0
263,DJ Jacobs,Right_Hand,Right-arm medium,South Africa,0
264,Sunny Singh,Right_Hand,Right-arm medium-fast,India,0
265,NJ Rimmington,Right_Hand,Right-arm fast-medium,Australia,0
266,AL Menaria,Left_Hand,Slow left-arm orthodox,India,0
267,WD Parnell,Left_Hand,Left-arm medium-fast,South Africa,0
268,JJ van der Wath,Right_Hand,Right-arm medium-fast,South Africa,0
269,R Ninan,Right_Hand,Right-arm offbreak,India,0
270,S Aravind,Left_Hand,Left-arm medium-fast,India,0
271,MS Wade,Left_Hand,Right-arm medium,Australia,0
272,TD Paine,Right_Hand,Right-arm medium,Australia,0
273,SB Wagh,Left_Hand,Left-arm medium-fast,India,0
274,AC Thomas,Right_Hand,Right-arm fast-medium,England,0
275,JEC Franklin,Left_Hand,Left-arm medium,New Zealand,0
276,Shakib Al Hasan,Left_Hand,Slow left-arm orthodox,Bangladesh,0
277,DH Yagnik,Left_Hand,NULL,India,0
278,S Randiv,Right_Hand,Right-arm offbreak,Sri Lanka,0
279,BJ Haddin,Right_Hand,NULL,Australia,0
280,NLTC Perera,Left_Hand,Right-arm medium-fast,Sri Lanka,0
281,NL McCullum,Right_Hand,Right-arm offbreak,New Zealand,0
282,JE Taylor,Right_Hand,Right-arm fast,New Zealand,0
283,J Syed Mohammad,Left_Hand,Slow left-arm orthodox,India,0
284,RN ten Doeschate,Right_Hand,Right-arm medium-fast,Netherlands,0
285,TR Birt,Left_Hand,Right-arm medium,Australia,0
286,AG Murtaza,Left_Hand,Slow left-arm orthodox,India,0
287,Harpreet Singh,Left_Hand,Right-arm medium,India,0
288,M Klinger,Right_Hand,NULL,Australia,0
289,AC Blizzard,Left_Hand,Left-arm medium,Australia,0
290,I Malhotra,Right_Hand,Right-arm medium-fast,India,0
291,L Ablish,Right_Hand,Right-arm medium-fast,India,0
292,CA Ingram,Left_Hand,Legbreak,South Africa,0
293,S Nadeem,Right_Hand,Slow left-arm orthodox,India,0
294,P Parameswaran,Right_Hand,Left-arm medium,India,0
295,CJ Ferguson,Right_Hand,Right-arm medium,Australia,0
296,VR Aaron,Right_Hand,Right-arm fast,India,0
297,AA Chavan,Left_Hand,Slow left-arm orthodox,India,0
298,ND Doshi,Right_Hand,Slow left-arm orthodox,India,0
299,B Kumar,Right_Hand,Right-arm medium,India,0
300,Y Gnaneswara Rao,Right_Hand,Right-arm medium,India,0
301,S Rana,Right_Hand,Right-arm medium-fast,India,0
302,BA Bhatt,Left_Hand,Slow left-arm orthodox,India,0
303,F du Plessis,Right_Hand,Legbreak,South Africa,0
304,RE Levi,Right_Hand,Right-arm medium,South Africa,0
305,GJ Maxwell,Right_Hand,Right-arm offbreak,Australia,0
306,SPD Smith,Right_Hand,Legbreak googly,India,0
307,MN Samuels,Right_Hand,Right-arm offbreak,West Indies,0
308,SA Yadav,Right_Hand,Right-arm offbreak,India,0
309,KK Cooper,Right_Hand,Right-arm medium,West Indies,0
310,JP Faulkner,Right_Hand,Left-arm fast-medium,Australia,0
311,HV Patel,Right_Hand,Right-arm medium,India,0
312,DAJ Bracewell,Right_Hand,Right-arm fast-medium,New Zealand,0
313,DJ Harris,Right_Hand,Right-arm medium,Australia,0
314,Ankit Sharma,Left_Hand,Slow left-arm orthodox,India,0
315,SP Narine,Left_Hand,Right-arm offbreak,West Indies,0
316,GB Hogg,Left_Hand,Slow left-arm chinaman,Australia,0
317,RR Bhatkal,Right_Hand,Right-arm medium,India,0
318,CJ McKay,Right_Hand,Right-arm fast-medium,Australia,0
319,N Saini,Right_Hand,NULL,India,0
320,DA Miller,Left_Hand,Right-arm offbreak,South Africa,0
321,Azhar Mahmood,Right_Hand,Right-arm fast-medium,Pakistan,0
322,P Negi,Left_Hand,Slow left-arm orthodox,India,0
323,RJ Peterson,Left_Hand,Slow left-arm orthodox,South Africa,0
324,KMDN Kulasekara,Right_Hand,Right-arm fast-medium,Sri Lanka,0
325,A Ashish Reddy,Right_Hand,Right-arm medium,India,0
326,V Pratap Singh,Right_Hand,Right-arm medium,India,0
327,BB Samantray,Right_Hand,NULL,India,0
328,MJ Clarke,Right_Hand,Slow left-arm orthodox,Australia,0
329,Gurkeerat Singh,Right_Hand,Right-arm offbreak,India,0
330,AP Majumdar,Right_Hand,Legbreak googly,India,0
331,PA Reddy,Right_Hand,Legbreak,India,0
332,K Upadhyay,Right_Hand,Right-arm medium,India,0
333,P Awana,Right_Hand,Right-arm medium,India,0
334,AD Russell,Right_Hand,Right-arm fast,West Indies,0
335,A Chandila,Right_Hand,Right-arm offbreak,India,0
336,CA Lynn,Right_Hand,Slow left-arm orthodox,Australia,0
337,Sunny Gupta,Right_Hand,Right-arm offbreak,India,0
338,MC Juneja,Right_Hand,Right-arm offbreak,India,0
339,KK Nair,Right_Hand,Right-arm offbreak,India,0
340,GH Vihari,Right_Hand,Right-arm offbreak,India,0
341,MDKJ Perera,Left_Hand,NULL,Sri Lanka,0
342,R Shukla,Right_Hand,Right-arm medium,India,0
343,B Laughlin,Right_Hand,Right-arm fast-medium,Australia,0
344,AS Rajpoot,Right_Hand,Right-arm medium,India,0
345,M Vohra,Right_Hand,Right-arm medium,India,0
346,JD Unadkat,Right_Hand,Left-arm medium,India,0
347,Mohammed Shami,Right_Hand,Right-arm fast-medium,India,0
348,BMAJ Mendis,Left_Hand,Legbreak,Sri Lanka,0
349,R Rampaul,Left_Hand,Right-arm fast-medium,West Indies,0
350,CH Morris,Right_Hand,Right-arm fast-medium,South Africa,0
351,SV Samson,Right_Hand,NULL,India,0
352,SMSM Senanayake,Right_Hand,Right-arm offbreak,Sri Lanka,0
353,BJ Rohrer,Left_Hand,NULL,Australia,0
354,KL Rahul,Right_Hand,NULL,India,0
355,Q de Kock,Left_Hand,NULL,South Africa,0
356,R Dhawan,Right_Hand,Right-arm medium-fast,India,0
357,MG Johnson,Left_Hand,Left-arm fast,Australia,0
358,LJ Wright,Right_Hand,Right-arm medium-fast,England,0
359,IC Pandey,Right_Hand,Right-arm medium,India,0
360,CM Gautam,Right_Hand,NULL,India,0
361,X Thalaivan Sargunam,Right_Hand,Right-arm offbreak,India,0
362,DJG Sammy,Right_Hand,Right-arm medium-fast,West Indies,0
363,KW Richardson,Right_Hand,Right-arm fast-medium,Australia,0
364,MM Sharma,Right_Hand,Right-arm medium,India,0
365,UA Birla,Right_Hand,Right-arm medium,India,0
366,Parvez Rasool,Right_Hand,Right-arm offbreak,India,0
367,Sandeep Sharma,Right_Hand,Right-arm medium,India,0
368,S Kaul,Right_Hand,Right-arm medium,India,0
369,Sachin Baby,Left_Hand,Right-arm offbreak,India,0
370,PV Tambe,Right_Hand,Legbreak,India,0
371,NM Coulter-Nile,Right_Hand,Right-arm fast,Australia,0
372,CJ Anderson,Left_Hand,Left-arm medium-fast,New Zealand,0
373,NJ Maddinson,Left_Hand,Slow left-arm orthodox,Australia,0
374,AR Patel,Left_Hand,Slow left-arm orthodox,India,0
375,JJ Bumrah,Right_Hand,Right-arm medium,India,0
376,JDS Neesham,Left_Hand,Right-arm medium,New Zealand,0
377,TG Southee,Right_Hand,Right-arm medium-fast,New Zealand,0
378,MA Starc,Left_Hand,Left-arm fast,Australia,0
379,BR Dunk,Left_Hand,NULL,Australia,0
380,RR Rossouw,Left_Hand,Right-arm offbreak,South Africa,0
381,Shivam Sharma,Right_Hand,Right-arm offbreak,India,0
382,YS Chahal,Right_Hand,Legbreak googly,India,0
383,LMP Simmons,Right_Hand,Right-arm medium-fast,West Indies,0
384,VH Zol,Left_Hand,Right-arm offbreak,India,0
385,BCJ Cutting,Right_Hand,Right-arm fast-medium,Australia,0
386,Imran Tahir,Right_Hand,Legbreak googly,India,0
387,BE Hendricks,Left_Hand,Left-arm fast-medium,South Africa,0
388,S Gopal,Right_Hand,Legbreak,India,0
389,M de Lange,Right_Hand,Right-arm fast,South Africa,0
390,R Tewatia,Left_Hand,Legbreak,India,0
391,JO Holder,Right_Hand,Right-arm medium-fast,West Indies,0
392,Karanveer Singh,Right_Hand,Legbreak googly,India,0
393,SS Iyer,Right_Hand,Legbreak googly,India,0
394,DJ Hooda,Right_Hand,Right-arm offbreak,India,0
395,Anureet Singh,Right_Hand,Right-arm medium,India,0
396,KS Williamson,Right_Hand,Right-arm offbreak,New Zealand,0
397,SA Abbott,Right_Hand,Right-arm fast-medium,New Zealand,0
398,J Suchith,Left_Hand,Slow left-arm orthodox,India,0
399,RG More,Right_Hand,Right-arm medium,India,0
400,HH Pandya,Right_Hand,Right-arm medium-fast,India,0
401,D Wiese,Right_Hand,Right-arm medium-fast,South Africa,0
402,SN Khan,Right_Hand,Legbreak,India,0
403,MJ McClenaghan,Left_Hand,Left-arm fast-medium,New Zealand,0
404,DJ Muthuswami,Right_Hand,Right-arm medium,India,0
405,PJ Cummins,Right_Hand,Right-arm fast,Australia,0
406,SN Thakur,Right_Hand,Right-arm medium,India,0
407,JC Buttler,Right_Hand,NULL,England,0
408,CR Brathwaite,Right_Hand,Right-arm fast-medium,West Indies,0
409,MP Stoinis,Right_Hand,Right-arm medium,Australia,0
410,Ishan Kishan,Left_Hand,NULL,India,0
411,C Munro,Left_Hand,Right-arm medium-fast,New Zealand,0
412,P Sahu,Right_Hand,Legbreak googly,India,0
413,KH Pandya,Left_Hand,Slow left-arm orthodox,India,0
414,AD Nath,Right_Hand,Right-arm medium-fast,India,0
415,MJ Guptill,Right_Hand,Right-arm offbreak,New Zealand,0
416,KJ Abbott,Right_Hand,Right-arm fast-medium,South Africa,0
417,TM Head,Left_Hand,Right-arm offbreak,Australia,0
418,M Ashwin,Right_Hand,Legbreak googly,India,0
419,NS Naik,Right_Hand,NULL,India,0
420,RR Pant,Left_Hand,NULL,India,0
421,SW Billings,Right_Hand,NULL,England,0
422,KC Cariappa,Right_Hand,Legbreak,India,0
423,PSP Handscomb,Right_Hand,NULL,Australia,0
424,Swapnil Singh,Right_Hand,Slow left-arm orthodox,India,0
425,J Yadav,Right_Hand,Right-arm offbreak,India,0
426,UT Khawaja,Left_Hand,Right-arm medium,Australia,0
427,HM Amla,Right_Hand,Right-arm offbreak,South Africa,0
428,F Behardien,Right_Hand,Right-arm fast-medium,South Africa,0
429,BB Sran,Left_Hand,Left-arm medium,India,0
430,A Zampa,Right_Hand,Legbreak googly,Australia,0
431,N Rana,Left_Hand,Right-arm offbreak,India,0
432,S Kaushik,Right_Hand,Slow left-arm chinaman,India,0
433,ER Dwivedi,Right_Hand,NULL,India,0
434,CJ Jordan,Right_Hand,Right-arm fast-medium,England,0
435,P Amarnath,Right_Hand,Right-arm medium,India,0
436,B Geeves,Right_Hand,Right-arm fast-medium,Australia,0
437,Gagandeep Singh,Right_Hand,Right-arm medium-fast,India,0
438,A Nel,Right_Hand,Right-arm fast-medium,South Africa,0
439,AM Salvi,Right_Hand,Right-arm medium,India,0
440,RR Bose,Right_Hand,Right-arm fast-medium,India,0
441,SS Sarkar,Right_Hand,Right-arm medium,India,0
442,RA Shaikh,Left_Hand,Left-arm medium,India,0
443,C Ganapathy,Right_Hand,Right-arm medium,India,0
444,MB Parmar,Right_Hand,Right-arm offbreak,India,0
445,AA Kazi,Left_Hand,Slow left-arm orthodox,India,0
446,Anand Rajan,Right_Hand,Right-arm medium,India,0
447,P Prasanth,Left_Hand,Slow left-arm orthodox,India,0
448,SS Mundhe,Right_Hand,Right-arm medium,India,0
449,RW Price,Right_Hand,Slow left-arm orthodox,Zimbabwea,0
450,TP Sudhindra,Left_Hand,Right-arm fast,India,0
451,BW Hilfenhaus,Right_Hand,Right-arm fast-medium,Australia,0
452,S Badree,Right_Hand,Legbreak,West Indies,0
453,P Suyal,Right_Hand,Left-arm medium,India,0
454,MG Neser,Right_Hand,Right-arm medium,Australia,0
455,V Shankar,Right_Hand,Right-arm medium,India,0
456,K Santokie,Left_Hand,Left-arm medium,West Indies,0
457,JW Hastings,Right_Hand,Right-arm fast-medium,Australia,0
458,TA Boult,Right_Hand,Left-arm fast-medium,New Zealand,0
459,GS Sandhu,Left_Hand,Right-arm fast-medium,Australia,0
460,Mustafizur Rahman,Left_Hand,Left-arm fast-medium,Bangladesh,0
461,AF Milne,Right_Hand,Right-arm fast,New Zealand,0
462,Kuldeep Yadav,Left_Hand,Slow left-arm chinaman,India,0
463,T Shamsi,Right_Hand,Slow left-arm chinaman,South Africa,0
464,SM Boland,Right_Hand,Right-arm fast-medium,Australia,0
465,DL Chahar,Right_Hand,Right-arm medium,India,0
466,P Dharmani,Right_Hand,Right-arm medium,India,0
467,RV Pawar,Left_Hand,Slow left-arm orthodox,India,0
468,KH Devdhar,Right_Hand,Right-arm medium,India,0
469,T Mishra,Right_Hand,Right-arm fast-medium,India,0
523,AV Wankhade,Right_Hand,NULL,India,0
524,B Aparajith,Right_Hand,Right-arm offbreak,India,0
470,Asad Rauf,NULL,NULL,Pakistan,1
471,MR Benson,NULL,NULL,England,1
472,Aleem Dar,NULL,NULL,Pakistan,1
473,SJ Davis,NULL,NULL,England,1
474,BF Bowden,NULL,NULL,New Zealand,1
475,IL Howell,NULL,NULL,South Africa,1
476,DJ Harper,NULL,NULL,Australia,1
477,RE Koertzen,NULL,NULL,South Africa,1
478,BR Doctrove,NULL,NULL,West Indies,1
479,AV Jayaprakash,NULL,NULL,India,1
480,BG Jerling,NULL,NULL,South Africa,1
481,M Erasmus,NULL,NULL,South Africa,1
482,HDPK Dharmasena,NULL,NULL,Sri Lanka,1
483,S Asnani,NULL,NULL,India,1
484,GAV Baxter,NULL,NULL,New Zealand,1
485,SS Hazare,NULL,NULL,India,1
486,K Hariharan,NULL,NULL,India,1
487,SL Shastri,NULL,NULL,India,1
488,SK Tarapore,NULL,NULL,India,1
489,S Ravi,NULL,NULL,India,1
490,SJA Taufel,NULL,NULL,Australia,1
491,S Das,NULL,NULL,India,1
492,AM Saheba,NULL,NULL,India,1
493,PR Reiffel,NULL,NULL,Australia,1
494,JD Cloete,NULL,NULL,South Africa,1
495,AK Chaudhary,NULL,NULL,India,1
496,VA Kulkarni,NULL,NULL,India,1
497,BNJ Oxenford,NULL,NULL,Australia,1
498,CK Nandan,NULL,NULL,India,1
499,C Shamshuddin,NULL,NULL,India,1
500,NJ Llong,NULL,NULL,England,1
501,RK Illingworth,NULL,NULL,England,1
502,RM Deshpande,NULL,NULL,India,1
503,K Srinath,NULL,NULL,India,1
504,SD Fry,NULL,NULL,Australia,1
505,CB Gaffaney,NULL,NULL,New Zealand,1
506,PG Pathak,NULL,NULL,India,1
507,Nitin Menon,NULL,NULL,India,1
508,K Bharatan,NULL,NULL,India,1
509,AY Dandekar,NULL,NULL,India,1
510,KN Ananthapadmanabhan,NULL,NULL,India,1
511,A Nand Kishore,NULL,NULL,India,1
512,GA Pratapkumar,NULL,NULL,India,1
513,RB Tiffin,NULL,NULL,Zimbabwea,1
514,I Shivram,NULL,NULL,India,1
515,SD Ranade,NULL,NULL,India,1
516,TH Wijewardene,NULL,NULL,Sri Lanka,1
517,AL Hill,NULL,NULL,New Zealand,1
518,RJ Tucker,NULL,NULL,Australia,1
519,Subroto Das,NULL,NULL,India,1
520,K Srinivasan,NULL,NULL,India,1
521,VK Sharma,NULL,NULL,India,1
